1,angle,Indian Institute of Technology Delhi,5
2,Nullstellensatz,Chennai Mathematical Institute,5
3,3Spades,Indian Institute of Technology Roorkee,5
4,HelloWorld!,"Indian Institute of Technology, Varanasi",4
5,Encore,Indian Institute of Technology Bombay,4
6,iitbhu_tesserect,"Indian Institute of Technology, Varanasi",4
7,0b101010,Indian Institute of Technology Kanpur,4
8,some_vague,Indian Institute of Technology Bombay,4
9,Carpe_Diem,"International Institute of Information Technology, Hyderabad",4
10,killer_beans,Indian Institute of Technology Kharagpur,4
11,Doctor Who,Indian Institute of Technology Kanpur,3
12,Rise,Indian Institute of Technology Kanpur,3
13,CuberootOfUnity,"Indian Institute of Information Technology, Allahabad",3
14,Spook,"Govind Ballabh Pant Engineering College, New Delhi",3
15,Deep Blue,Indian Institute of Technology Indore,3
16,NPC,Indian Institute of Technology Kharagpur,3
17,kuchbhi,"Indian Institute of Technology, Varanasi",3
18,superblock,"National Institute of Technology, Durgapur",3
19,lugician,"Indian Institute of Information Technology, Allahabad",3
20,typedef_dtu,Delhi Technological University,3
21,2b|!2b,"Indian Institute of Information Technology, Allahabad",3
22,Dice,Indian Institute of Technology Kanpur,3
23,011Coders,"Indian Institute of Information Technology, Allahabad",3
24,ampmcoders,Indian Institute of Technology Roorkee,3
25,alphaque,"Indraprastha Institute of Information Technology, Delhi",3
26,Macros,"Netaji Subhas Institute of Technology, New Delhi",3
27,tle4ever,"Indraprastha Institute of Information Technology, Delhi",3
28,UniRank,Indian Institute of Technology Guwahati,3
29,inglorious,Indian Institute of Technology Kanpur,3
30,Foo,Birla Institute of Technology Mesra,3
31,15MB,National Institute of Technology Karnataka,3
32,Wildcards,Motilal Nehru National Institute of Technology Allahabad,3
33,Codefreaks,Indian Institute of Technology Bombay,3
34,runtime_terror,"Netaji Subhas Institute of Technology, New Delhi",3
35,Bits Please,Indian Institute of Technology Roorkee,3
36,Mad-hattans,Indian Institute of Technology Madras,3
37,sudorandom,Indian Institute of Technology Kharagpur,3
38,nsit_nsquare,"Netaji Subhas Institute of Technology, New Delhi",3
39,Codex,Jaypee Institute of Information Technology,3
40,#define true false,Indian Institute of Technology Kharagpur,3
41,hyperbolicTan,Indian Institute of Technology Delhi,3
42,main()_dtu,Delhi Technological University,3
43,ICPC Warriors,"Netaji Subhas Institute of Technology, New Delhi",3
44,rudra,"Birla Institute of Technology, Patna",3
45,knightfury,"Dhirubhai Ambani Institute of Information and Communication Technology, Gandhinagar",3
46,HBDcoders,"National Institute of Technology, Durgapur",3
47,MemoryOverflow,Indian Institute of Technology Kanpur,2
48,foobar,"Netaji Subhas Institute of Technology, New Delhi",2
49,Noobs1,National Institute of Technology Karnataka,2
50,FourierAnalysis,Indian Institute of Technology Guwahati,2
51,redskull,Indian Institute of Technology Kharagpur,2
52,hodor,"Netaji Subhas Institute of Technology, New Delhi",2
53,Insert Team Name Here,Indian Institute of Technology Guwahati,2
54,codificadores,"Netaji Subhas Institute of Technology, New Delhi",2
55,Computation,Birla Institute of Technology Mesra,2
56,code_BOS,Indian Institute of Technology Kharagpur,2
57,CodeFiends,Indian Institute of Technology Roorkee,2
58,ValarMorghulis,"Jaypee University of Engineering and Technology, Guna",2
59,Random Segment,Indian School of Mines,2
60,Regression,"International Institute of Information Technology, Hyderabad",2
61,Flopcoderzzz,"College of Engineering, Guindy",2
62,Dynamites,Indian Institute of Technology Kharagpur,2
63,kryptos,Indian Institute of Technology Guwahati,2
64,catalan-loosers,Indian Institute of Technology Roorkee,2
65,zootoodoo,"Netaji Subhas Institute of Technology, New Delhi",2
66,codeDaemons,National Institute of Technology Tiruchirappalli,2
67,code warriors,Jaypee Institute of Information Technology,2
68,aces,"Birla Institute of Technology & Science Pilani, Pilani Campus",2
69,oblivion,"Netaji Subhas Institute of Technology, New Delhi",2
70,TRLBLZRS,"Institute of Engineering and Technology, Devi Ahilya Vishwavidyalaya",2
71,WWW,Indian Institute of Technology Kharagpur,2
72,liquid,Birla Institute of Technology Mesra,2
73,SHA3,"Indian Institute of Information Technology, Design and Manufacturing, Jabalpur",2
74,CodeSlayerX,"Institute of Engineering and Technology, Devi Ahilya Vishwavidyalaya",2
75,dnc,Delhi Technological University,2
76,Brightcoders,"Dhirubhai Ambani Institute of Information and Communication Technology, Gandhinagar",2
77,breakThrough,Birla Institute of Technology Mesra,2
78,BreakThrough,Kalyani Government Engineering College,2
79,Invictus,"International Institute of Information Technology, Hyderabad",2
80,Trial&Error,"Vellore Institute of Technology, Vellore",2
81,Code Geass,Indian Institute of Technology Patna,2
82,TreeVisitors,Indian Institute of Technology Madras,2
83,Recyclebin,Indian School of Mines,2
84,The Hobbits,"International Institute of Information Technology, Hyderabad",2
85,NowYouSeeUs,National Institute of Technology Tiruchirappalli,2
86,placeboEffect,"International Institute of Information Technology, Hyderabad",2
87,Semicolon,Delhi Technological University,2
88,turtles,Birla Institute of Technology Mesra,2
89,power,"Bengal Engineering and Science University, Shibpur",2
90,LAN,"Dwarkadas Jivanlal Sanghvi College of Engineering, Vile Parle, Mumbai",2
91,codingbots,Motilal Nehru National Institute of Technology Allahabad,2
91,noobgrammers,"College of Engineering, Guindy",2
93,alchemists,Indian Institute of Technology Ropar,2
